Parent CC,Child CC
Admin and Support Dept. - DS,Bumthang Dzongkhag - DS
Admin and Support Dept. - DS,Dagana Dzongkhag - DS
Admin and Support Dept. - DS,Gasa Dzongkhag - DS
Admin and Support Dept. - DS,Haa Dzongkhag - DS
Admin and Support Dept. - DS,Lhuentse Dzongkhag - DS
Admin and Support Dept. - DS,Lower Chukha - DS
Admin and Support Dept. - DS,Mongar Dzongkhag - DS
Admin and Support Dept. - DS,Nganglam - DS
Admin and Support Dept. - DS,Paro Dzongkhag - DS
Admin and Support Dept. - DS,Pemagatshel Dzongkhag - DS
Admin and Support Dept. - DS,Punakha Dzongkhag - DS
Admin and Support Dept. - DS,Samdrup Jongkhar Dzongkhag - DS
Admin and Support Dept. - DS,Samtse Dzongkhag - DS
Admin and Support Dept. - DS,Sarpang Dzongkhag - DS
Admin and Support Dept. - DS,Trashigang Dzongkhag - DS
Admin and Support Dept. - DS,Trashiyangtse Dzongkhag - DS
Admin and Support Dept. - DS,Trongsa Dzongkhag - DS
Admin and Support Dept. - DS,Tsirang Dzongkhag - DS
Admin and Support Dept. - DS,Upper Chukha - DS
Admin and Support Dept. - DS,Wangdue Phodrang Dzongkhag - DS
Admin and Support Dept. - DS,Zhemgang Dzongkhag - DS
Admin and Support Dept. - DS,Mongar - DS
Admin and Support Dept. - DS,Samtse - DS
Admin and Support Dept. - DS,Sarpang - DS
Admin and Support Dept. - DS,Wangdue - DS
Admin and Support Dept. - DS,Khotokha - DS
Admin and Support Dept. - DS,Bongdeyma - DS
Admin and Support Dept. - DS,Pemathang - DS
Admin and Support Dept. - DS,Tareythang - DS
Admin and Support Dept. - DS,Jamtsholing - DS
Admin and Support Dept. - DS,Samdrupjongkhar - DS
Admin and Support Dept. - DS,Improvement of Kurizampa to Gyalposhing Road - DS
Water Projects - DS,"Wophu,Gasa water project - DS"
Water Projects - DS,"Rawadrang-Menchu ,Tashiyangtse Irrigation water flagship project - DS"
Water Projects - DS,"Bura-Kamji, Chukha Water flagship Project - DS"
Water Projects - DS,"Debsi, Thimphu Water Flagship Project - DS"
Water Projects - DS,"Dhangdung, Trongsa Water Flagship Project - DS"
Water Projects - DS,"Domakhay, Punakha Water Flagship Project - DS"
Water Projects - DS,Gelephu Thromde Water Project - DS
Water Projects - DS,"Gomdhar, Samdrupjongkhar water Flagship Project - DS"
Water Projects - DS,"Gomphu, Zhemgang Water Flagship Project - DS"
Water Projects - DS,"Guma, Punakha Pilot Water Flagship Project - DS"
Water Projects - DS,"Gyalposhing, Mongar Water Flagship Project - DS"
Water Projects - DS,"Jida-Jamdo, Mewang Water Flagship Project- DS - DS"
Water Projects - DS,"Kalapang, Mongar Water Flagship Project - DS"
Water Projects - DS,"Kana, Dagana Water Flagship Project - DS"
Water Projects - DS,"Khagdari, Yangneer Water Flagship Project - DS"
Water Projects - DS,"Khamed Jimecholing,Sarpang Water Flagship Project - DS"
Water Projects - DS,"Khar, Pemagatshel Water Flagship Project - DS"
Water Projects - DS,"Khnei-Tokshing , Tashiyangtse Water Flagship Project - DS"
Water Projects - DS,"Langchenphu,Jomotshangkha Water Flagship Project - DS"
Water Projects - DS,"Lanjuni, Sombeykha Irrigation water flagship project - DS"
Water Projects - DS,"LAP-4, Samdrupjongkhar Throm Water Flagship Project - DS"
Water Projects - DS,"Lhamoizingkha, Dagana Water Flagship Project - DS"
Water Projects - DS,"Lingtey Water Flagship Project (Irrigation), Sang-Ngagcholing Gewog, Samtse - DS"
Water Projects - DS,"Naja, Paro Water Flagship Project - DS"
Water Projects - DS,National Service Department - DS
Water Projects - DS,"Patshaling Maed, Tsirang Water Flagship project - DS"
Water Projects - DS,"Ramina, Gasa Water Flagship Project - DS"
Water Projects - DS,"Ramjar,Tashiyangtse irrigation water flagship project - DS"
Water Projects - DS,"Samtengang School, Wangdue Water Flagship Project - DS"
Water Projects - DS,"Semjong, Tsirang Pilot Water Flagship Project - DS"
Water Projects - DS,"Shengnyer, Ura Bumthang water flagship Project - DS"
Water Projects - DS,"Tangsibi, Ura Bumthang Water flagship Project - DS"
Water Projects - DS,"Tareythang, Sarpang Water Flagship (Irrigation) Project - DS"
Water Projects - DS,"Telung, Pemagatshel Water Flagship Project - DS"
Water Projects - DS,"Tshaldang,Zhemgang Water Flagship Project - DS"
Water Projects - DS,"Tshaphel, Haa Water Flagship Project - DS"
Water Projects - DS,"Tshochasa, Punakha Water Flagship Project - DS"
Water Projects - DS,"Udzorong, Tashigang Water flagship Project - DS"
Water Projects - DS,"Wooling, Orong Samdrupjongkhar Water Project - DS"
Water Projects - DS,"Zham Water Flagship Project (irrigation), Minjey Gewog, Lhuntse Dzongkhag - DS"
Water Projects - DS,MILLION FRUIT TREE PLANTATION - DS
Water Projects - DS,CONSTRUCTION OF DE-SUUNG TRANSIT CAMP AT BUMTHANG - DS
Water Projects - DS,CONSTRUCTION OF STORE FOR DE-SUUNG NATIONAL SERVICE - DS
Training Dept. - DS,SAR-5 - DS
Training Dept. - DS,DDM Fund - DS
Training Dept. - DS,Training Department - DS
